gene_symbol	s_het
CREBBP	0.712744609
CACNA1E	0.687495742
TRIP12	0.660254755
EIF4G1	0.639410094
USP9X	0.620360495
HELZ	0.616952455
UBR5	0.615396766
MED13	0.608889049
KDM3B	0.598649548
SMC3	0.586267656
MED12	0.583941063
NIPBL	0.573090113
COPA	0.552121239
KMT2E	0.547772441
SF3B1	0.547290214
RLF	0.547052978
RSF1	0.542223592
BRWD3	0.541479417
SCAF8	0.536996463
SMARCC2	0.534618701
RALGAPB	0.534301373
FNDC3B	0.531397871
SIN3A	0.531233531
SUPT16H	0.530960028
YTHDC1	0.530263226
CTNND2	0.527353063
LPHN1	0.523630711
NCKAP1	0.523562723
KDM2A	0.521228839
USP47	0.519448326
MAPK8IP3	0.508441908
THRAP3	0.508059647
SYNGAP1	0.50611216
TLK2	0.504765825
ZC3H4	0.499928343
PPP1R10	0.49687998
UBAP2L	0.492939332
THOC2	0.4898751
RABGAP1	0.489194486
AGO1	0.487700596
IREB2	0.487565526
PRPF3	0.48532688
DHX30	0.484165885
RAD54L2	0.481928947
STAG2	0.47897778
U2SURP	0.476702669
XPO1	0.475933481
TOP1	0.472245671
MED1	0.471277846
XPO6	0.470657116
TRRAP	0.470190287
CUL2	0.469734462
ZFHX3	0.468847958
PSMD1	0.46611832
AGO3	0.465039947
TCEB3	0.464852629
DHX15	0.464848057
GRIN2B	0.464406157
MED14	0.463524592
TRIM24	0.463159295
ARHGAP35	0.460720301
FNBP4	0.46068879
EIF3A	0.460452928
ZNF609	0.460341819
HOOK3	0.459926845
UBTF	0.457784608
RBM15	0.456837951
PSMD2	0.456552809
TRIM33	0.456546101
COPB2	0.452312564
ILF3	0.449067277
RPRD2	0.445687118
ZNF521	0.445323909
RBM39	0.445057382
TNPO1	0.444772459
INTS6	0.443496316
VCP	0.442480389
LRP8	0.439626444
RRM1	0.439295366
AGO2	0.439212688
ZFPM2	0.438596276
COL5A1	0.437549117
PHF12	0.435754211
LRP1	0.435234946
EIF4B	0.435016502
SMC1A	0.434972792
TET3	0.434003257
GIGYF2	0.433840731
ZNF608	0.433496394
HCFC1	0.433173239
CAPRIN1	0.431987573
UBA1	0.431722677
NAA35	0.430680487
